date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
09/03/2020 12:00:00 AM,2,97,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/04/2020 12:00:00 AM,0,97,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/05/2020 12:00:00 AM,3,100,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/06/2020 12:00:00 AM,1,101,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/07/2020 12:00:00 AM,1,102,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/08/2020 12:00:00 AM,1,103,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/09/2020 12:00:00 AM,2,105,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/10/2020 12:00:00 AM,4,109,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/11/2020 12:00:00 AM,1,110,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/12/2020 12:00:00 AM,1,111,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/13/2020 12:00:00 AM,0,111,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/14/2020 12:00:00 AM,0,111,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/15/2020 12:00:00 AM,0,111,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/16/2020 12:00:00 AM,1,112,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/17/2020 12:00:00 AM,2,114,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/18/2020 12:00:00 AM,2,116,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/19/2020 12:00:00 AM,0,116,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/20/2020 12:00:00 AM,1,117,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/21/2020 12:00:00 AM,0,117,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/22/2020 12:00:00 AM,3,120,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/23/2020 12:00:00 AM,1,121,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/24/2020 12:00:00 AM,2,123,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/25/2020 12:00:00 AM,2,125,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/26/2020 12:00:00 AM,0,125,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/27/2020 12:00:00 AM,0,125,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/28/2020 12:00:00 AM,3,128,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/29/2020 12:00:00 AM,1,129,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
09/30/2020 12:00:00 AM,0,129,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/01/2020 12:00:00 AM,5,134,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/02/2020 12:00:00 AM,2,136,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/03/2020 12:00:00 AM,0,136,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/04/2020 12:00:00 AM,5,141,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/05/2020 12:00:00 AM,2,143,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/06/2020 12:00:00 AM,0,143,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/07/2020 12:00:00 AM,0,143,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/08/2020 12:00:00 AM,3,146,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/09/2020 12:00:00 AM,4,150,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/10/2020 12:00:00 AM,3,153,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/11/2020 12:00:00 AM,1,154,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/12/2020 12:00:00 AM,0,154,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/13/2020 12:00:00 AM,0,154,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/14/2020 12:00:00 AM,1,155,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/15/2020 12:00:00 AM,0,155,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/16/2020 12:00:00 AM,0,155,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/17/2020 12:00:00 AM,0,155,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/18/2020 12:00:00 AM,1,156,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/19/2020 12:00:00 AM,2,158,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/20/2020 12:00:00 AM,0,158,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/21/2020 12:00:00 AM,0,158,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/22/2020 12:00:00 AM,0,158,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/23/2020 12:00:00 AM,0,158,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/24/2020 12:00:00 AM,2,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/25/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/26/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/27/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/28/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/29/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/30/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
10/31/2020 12:00:00 AM,0,160,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/01/2020 12:00:00 AM,1,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/02/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/03/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/04/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/05/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/06/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/07/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/08/2020 12:00:00 AM,0,161,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/09/2020 12:00:00 AM,2,163,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/10/2020 12:00:00 AM,0,163,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/11/2020 12:00:00 AM,0,163,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/12/2020 12:00:00 AM,1,164,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/13/2020 12:00:00 AM,0,164,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/14/2020 12:00:00 AM,1,165,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
