date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
04/05/2020 12:00:00 AM,1,13,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/06/2020 12:00:00 AM,1,14,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/07/2020 12:00:00 AM,1,15,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/08/2020 12:00:00 AM,1,16,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/09/2020 12:00:00 AM,0,16,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/10/2020 12:00:00 AM,2,18,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/11/2020 12:00:00 AM,1,19,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/12/2020 12:00:00 AM,0,19,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/13/2020 12:00:00 AM,1,20,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/14/2020 12:00:00 AM,3,23,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/15/2020 12:00:00 AM,1,24,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/16/2020 12:00:00 AM,1,25,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/17/2020 12:00:00 AM,0,25,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/18/2020 12:00:00 AM,1,26,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/19/2020 12:00:00 AM,1,27,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/20/2020 12:00:00 AM,0,27,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/21/2020 12:00:00 AM,0,27,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/22/2020 12:00:00 AM,1,28,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/23/2020 12:00:00 AM,1,29,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/24/2020 12:00:00 AM,0,29,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/25/2020 12:00:00 AM,1,30,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/26/2020 12:00:00 AM,0,30,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/27/2020 12:00:00 AM,0,30,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/28/2020 12:00:00 AM,1,31,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/29/2020 12:00:00 AM,3,34,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
04/30/2020 12:00:00 AM,1,35,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/01/2020 12:00:00 AM,1,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/02/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/03/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/04/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/05/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/06/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/07/2020 12:00:00 AM,0,36,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/08/2020 12:00:00 AM,3,39,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/09/2020 12:00:00 AM,2,41,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/10/2020 12:00:00 AM,0,41,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/11/2020 12:00:00 AM,0,41,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/12/2020 12:00:00 AM,1,42,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/13/2020 12:00:00 AM,0,42,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/14/2020 12:00:00 AM,0,42,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/15/2020 12:00:00 AM,1,43,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/16/2020 12:00:00 AM,0,43,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/17/2020 12:00:00 AM,2,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/18/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/19/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/20/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/21/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/22/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/23/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/24/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/25/2020 12:00:00 AM,0,45,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
