gpf_id,variable,cnty_abbr,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
24-0-ABAG2021-total_households,TOTHH,SF,0.9087791226827344,0.921810676585201,0.9348422304876675,0.9478737843901339,0.9609053382926004,0.973936892195067,0.9869684460975334,1.0,1.0130315539024664,1.026063107804933,1.0390946617073995,1.052126215609866,1.0651577695123324,1.078189323414799,1.0912208773172654,1.104252431219732,1.1172839851221985,1.130315539024665,1.1433470929271314,1.156378646829598,1.1694102007320646,1.1872412364314426,1.2050722721308207,1.2229033078301987,1.2407343435295768,1.258565379228955,1.2763964149283331,1.2942274506277112,1.3120584863270892,1.3298895220264675,1.3477205577258458,1.3655515934252236,1.3833826291246019,1.4012136648239801,1.419044700523358,1.4368757362227362
24-0-ABAG2021-total_households,TOTHH,SM,0.9157390480474483,0.9277763268978128,0.9398136057481774,0.9518508845985418,0.9638881634489065,0.9759254422992709,0.9879627211496353,1.0,1.0120372788503644,1.024074557700729,1.0361118365510935,1.048149115401458,1.0601863942518226,1.072223673102187,1.0842609519525517,1.096298230802916,1.1083355096532805,1.1203727885036452,1.1324100673540096,1.1444473462043743,1.1564846250547387,1.1700110073170955,1.183537389579452,1.1970637718418087,1.2105901541041653,1.224116536366522,1.2376429186288787,1.2511693008912355,1.2646956831535918,1.2782220654159486,1.2917484476783052,1.305274829940662,1.3188012122030186,1.3323275944653752,1.3458539767277318,1.3593803589900886
24-0-ABAG2021-total_households,TOTHH,SNC,0.8720137753322973,0.8902975217133977,0.908581268094498,0.9268650144755985,0.9451487608566987,0.9634325072377993,0.9817162536188997,1.0,1.0182837463811005,1.0365674927622008,1.0548512391433011,1.0731349855244017,1.091418731905502,1.1097024782866025,1.1279862246677028,1.1462699710488031,1.1645537174299037,1.182837463811004,1.2011212101921045,1.2194049565732046,1.237688702954305,1.2555761290977283,1.2734635552411513,1.2913509813845745,1.3092384075279977,1.3271258336714207,1.3450132598148437,1.3629006859582669,1.38078811210169,1.398675538245113,1.4165629643885362,1.4344503905319592,1.4523378166753824,1.4702252428188056,1.4881126689622284,1.5060000951056518
24-0-ABAG2021-total_households,TOTHH,ALA,0.8821734041408211,0.8990057749778467,0.9158381458148722,0.9326705166518978,0.9495028874889233,0.9663352583259489,0.9831676291629745,1.0,1.0168323708370257,1.033664741674051,1.0504971125110767,1.0673294833481024,1.0841618541851277,1.1009942250221534,1.1178265958591789,1.1346589666962046,1.15149133753323,1.1683237083702556,1.1851560792072813,1.2019884500443065,1.2188208208813323,1.2278446335693316,1.236868446257331,1.2458922589453305,1.25491607163333,1.2639398843213294,1.2729636970093288,1.281987509697328,1.2910113223853277,1.3000351350733272,1.3090589477613266,1.318082760449326,1.3271065731373253,1.3361303858253248,1.3451541985133244,1.3541780112013238
24-0-ABAG2021-total_households,TOTHH,CC,0.9116655328550949,0.9242847424472241,0.9369039520393534,0.9495231616314829,0.9621423712236121,0.9747615808157414,0.9873807904078707,1.0,1.0126192095921294,1.0252384191842587,1.037857628776388,1.0504768383685172,1.0630960479606466,1.075715257552776,1.0883344671449053,1.1009536767370345,1.1135728863291638,1.1261920959212932,1.1388113055134226,1.1514305151055517,1.164049724697681,1.174049668692275,1.184049612686869,1.1940495566814628,1.2040495006760568,1.2140494446706507,1.2240493886652446,1.2340493326598385,1.2440492766544324,1.2540492206490264,1.2640491646436205,1.2740491086382144,1.2840490526328083,1.2940489966274022,1.3040489406219962,1.31404888461659
24-0-ABAG2021-total_households,TOTHH,SOL,0.9660385084167469,0.9708901500714973,0.9757417917262478,0.9805934333809981,0.9854450750357487,0.9902967166904991,0.9951483583452496,1.0,1.0048516416547504,1.0097032833095008,1.0145549249642514,1.0194065666190018,1.0242582082737524,1.0291098499285027,1.0339614915832531,1.0388131332380035,1.0436647748927539,1.0485164165475043,1.0533680582022549,1.0582196998570055,1.0630713415117559,1.0721770825234935,1.0812828235352312,1.0903885645469689,1.0994943055587065,1.1086000465704442,1.117705787582182,1.1268115285939198,1.1359172696056574,1.145023010617395,1.1541287516291328,1.1632344926408704,1.172340233652608,1.1814459746643458,1.1905517156760834,1.199657456687821
24-0-ABAG2021-total_households,TOTHH,NAP,0.9766744915899843,0.9800067070771294,0.9833389225642746,0.9866711380514195,0.9900033535385646,0.9933355690257097,0.9966677845128549,1.0,1.003332215487145,1.00666443097429,1.0099966464614352,1.0133288619485803,1.0166610774357254,1.0199932929228703,1.0233255084100155,1.0266577238971606,1.0299899393843057,1.0333221548714508,1.036654370358596,1.039986585845741,1.0433188013328862,1.0456178167882404,1.0479168322435948,1.0502158476989492,1.0525148631543035,1.0548138786096577,1.057112894065012,1.0594119095203662,1.0617109249757208,1.064009940431075,1.0663089558864294,1.0686079713417835,1.070906986797138,1.0732060022524923,1.0755050177078467,1.077804033163201
24-0-ABAG2021-total_households,TOTHH,SON,0.9626478590693429,0.9679838792022938,0.973319899335245,0.9786559194681959,0.983991939601147,0.9893279597340979,0.994663979867049,1.0,1.005336020132951,1.010672040265902,1.0160080603988533,1.0213440805318041,1.026680100664755,1.032016120797706,1.0373521409306572,1.0426881610636083,1.0480241811965592,1.0533602013295102,1.0586962214624613,1.0640322415954122,1.0693682617283633,1.0744163033853622,1.0794643450423616,1.0845123866993605,1.0895604283563596,1.0946084700133587,1.0996565116703576,1.104704553327357,1.1097525949843559,1.1148006366413552,1.119848678298354,1.1248967199553532,1.1299447616123524,1.1349928032693513,1.1400408449263506,1.1450888865833495
24-0-ABAG2021-total_households,TOTHH,MAR,0.9171203309867331,0.9289602837029141,0.940800236419095,0.952640189135276,0.964480141851457,0.976320094567638,0.988160047283819,1.0,1.011839952716181,1.023679905432362,1.035519858148543,1.047359810864724,1.059199763580905,1.071039716297086,1.082879669013267,1.094719621729448,1.106559574445629,1.11839952716181,1.130239479877991,1.1420794325941719,1.1539193853103529,1.1590356071080525,1.1641518289057526,1.1692680507034523,1.1743842725011522,1.1795004942988518,1.184616716096552,1.1897329378942516,1.1948491596919517,1.1999653814896514,1.2050816032873513,1.2101978250850511,1.215314046882751,1.2204302686804507,1.2255464904781506,1.2306627122758504
24-0-ABAG2021-household_population,HHPOP,SF,0.9384678087726352,0.9472581218051159,0.9560484348375966,0.9648387478700773,0.973629060902558,0.9824193739350386,0.9912096869675193,1.0,1.0087903130324807,1.0175806260649614,1.026370939097442,1.0351612521299227,1.0439515651624034,1.052741878194884,1.0615321912273648,1.0703225042598454,1.079112817292326,1.0879031303248068,1.0966934433572875,1.1054837563897681,1.1142740694222488,1.1303080019620113,1.146341934501774,1.1623758670415367,1.1784097995812992,1.194443732121062,1.2104776646608248,1.2265115972005873,1.24254552974035,1.2585794622801125,1.2746133948198752,1.290647327359638,1.3066812598994004,1.3227151924391631,1.3387491249789258,1.3547830575186885
